id,role,type,description,size/ratio,style line ref,source
level1_bg_far,level background,image,"Neon Jungle Vault far side-scroller layer with indigo forest silhouettes, violet mist, black metal ruins, thin gold circuitry, no characters or HUD","16:9 webp","black/gold/purple premium toy arcade; readable combat silhouettes",generate
level2_bg_far,level background,image,"Golden Circuit Foundry far side-scroller layer with black metal forge, gold machinery, violet molten channels, conveyors, sparks and steam","16:9 webp","black/gold/purple premium toy arcade; readable combat silhouettes",generate
level3_bg_far,level background,image,"Astral Vault Core far side-scroller layer with cosmic black sky, purple nebula mist, floating circuit platforms, heart-core reactor glow","16:9 webp","black/gold/purple premium toy arcade; readable combat silhouettes",generate
platform_tiles_level1,platform tile sheet,image,"Cyber-jungle black-metal modular side-view platform tiles with gold trim, vines and violet underglow","1:1 png","black/gold/purple premium toy arcade; readable platform edges",generate
platform_tiles_level2,platform tile sheet,image,"Golden foundry modular side-view platform tiles with conveyor pieces, bright rails and violet molten edges","1:1 png","black/gold/purple premium toy arcade; readable platform edges",generate
platform_tiles_level3,platform tile sheet,image,"Astral floating modular side-view platform tiles with gold circuits, nebula edges and holographic number panels","1:1 png","black/gold/purple premium toy arcade; readable platform edges",generate
canopy_drone_queen,boss sprite,image,"Hovering black-and-purple drone queen with gold circuit wings, amber visor and magenta emitter","1:1 png","toy-premium enemy silhouette; transparent/isolated asset",generate
jackpot_forge_titan,boss sprite,image,"Large black-metal mech with slot-machine vault-core chest, gold circuit armor, violet exhaust and slam arms","1:1 png","toy-premium enemy silhouette; transparent/isolated asset",generate
midas_heartcore_overlord,final boss sprite,image,"Giant crowned black-and-gold AI guardian core with purple heart reactor, drone arms and magenta energy halo","1:1 png","toy-premium enemy silhouette; transparent/isolated asset",generate
level_card_frame,title UI frame,image,"Gold sci-fi frame for level intro title cards","16:9 png","circuit-trim HUD matching concept screenshot",generate
boss_health_frame,boss HUD frame,image,"Wide gold and purple boss health bar frame","16:9 png","circuit-trim HUD matching concept screenshot",generate
final_victory_badge,results badge,image,"Original Lottomind vault victory badge for final results","1:1 png","circuit-trim HUD matching concept screenshot",generate
enemy_crawler,enemy sprite,image,"Low cyber crawler with black armor, gold circuits, violet trim and amber visor","1:1 png cutout","toy-premium enemy silhouette; transparent/isolated asset",generate
enemy_drone,enemy sprite,image,"Hover drone with round black shell, twin violet rotors, gold circuits and amber visor","1:1 png cutout","toy-premium enemy silhouette; transparent/isolated asset",generate
enemy_shield_guard,enemy sprite,image,"Cyber shield guard with black/gold armor and violet energy shield","1:1 png cutout","toy-premium enemy silhouette; transparent/isolated asset",generate
enemy_turret,enemy sprite,image,"Mounted turret cannon module with black armor, gold circuits and violet core","1:1 png cutout","toy-premium enemy silhouette; transparent/isolated asset",generate
mission_collectibles_sheet,mission sprite sheet,image,"Animated shards, keycards, health hearts, and overdrive medallions with LottoMind M accents","8x4 png sheet","black/gold/purple branded mission motion",local
extraction_portal_sheet,mission sprite sheet,image,"Animated gold, cyan, and magenta extraction portal ring with LottoMind M core","8x1 png sheet","black/gold/purple branded mission motion",local
vault_gate_sheet,mission sprite sheet,image,"Animated branded vault gate column with gold circuitry and M lock plate","4x1 png sheet","black/gold/purple branded mission motion",local
branded_background_props_sheet,background prop sheet,image,"M medallions, terminals, relays, plaques, and signal cores placed behind platforms","3x2 png sheet","black/gold/purple branded background fill",local
